id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
772195193586734462,139504671,57.0,f,2.0,t,t,Indre By,Private room in rental unit,Private room,2,1 shared bath,1.0,1320.4675313807531,5,12,0,0,4.818525443935496,f,0.7332381191537447
993508926988263521,540024469,100.0,f,1.0,t,f,Amager st,Entire rental unit,Entire home/apt,2,1 bath,1.0,860.0,2,20,25,9,4.67,f,3.33
973046361084511805,413314931,57.0,f,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,3,1 bath,1.0,1000.0,2,60,107,7,4.86,f,3.75
52551491,36416123,48.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,2,1 bath,1.0,1200.0,2,7,178,16,5.0,f,0.59
723099448414722172,5049349,79.0,t,3.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,5,1 bath,3.0,1400.0,2,30,118,16,4.94,f,1.21
875277330195342299,264510054,99.0,f,1.0,t,t,Indre By,Entire rental unit,Entire home/apt,3,1 bath,1.0,1100.0,2,1125,0,23,4.71,t,3.81
912854361991142365,6819333,67.0,f,4.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,3,1 bath,1.0,1000.0,5,365,0,2,5.0,f,0.37
1012870424135169488,138410278,71.0,f,2.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,3,1 bath,1.0,1440.0,5,365,264,0,4.818525443935496,t,0.7332381191537447
967867948236847699,522585004,87.0,f,1.0,t,t,Vanløse,Entire home,Entire home/apt,4,2 baths,3.0,1850.0,5,1125,226,10,5.0,f,2.65
935993660634313805,161889522,91.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,2,1 bath,1.0,900.0,2,7,0,10,4.91,f,2.11
29528219,20888179,88.0,t,3.0,t,t,Amager Vest,Private room in condo,Private room,2,1 shared bath,1.0,800.0,3,7,0,33,4.91,f,0.54
29277460,39094324,85.0,f,4.0,t,t,Østerbro,Entire rental unit,Entire home/apt,4,1 bath,2.0,1200.0,5,50,0,16,5.0,f,0.27
35336225,174788605,71.55430761099366,f,1.0,t,f,Amager Vest,Entire townhouse,Entire home/apt,6,2 baths,6.0,1320.4675313807531,2,14,0,4,4.75,f,0.08
30406008,3732971,100.0,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,4,1 bath,3.0,815.0,3,3,0,9,5.0,f,0.16
2971045,15159669,21.0,f,3.0,t,t,Vesterbro-Kongens Enghave,Entire condo,Entire home/apt,5,2 baths,3.0,2050.0,3,4,336,10,5.0,f,0.5
770889046833784166,2809280,100.0,f,1.0,t,t,Østerbro,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,5,365,0,3,5.0,f,0.33
24300261,7111269,100.0,f,3.0,t,t,Indre By,Entire rental unit,Entire home/apt,3,1 bath,2.0,1292.0,1,1125,1,45,4.84,f,0.65
1041237361152883685,475332010,46.0,f,4.0,t,t,Østerbro,Private room in rental unit,Private room,2,1 bath,1.0,589.0,1,365,79,0,4.818525443935496,f,0.7332381191537447
35346876,252620371,71.55430761099366,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,4,1 bath,4.0,1320.4675313807531,4,1125,0,11,4.36,f,0.2
35962274,255709433,71.55430761099366,f,1.0,t,t,Vesterbro-Kongens Enghave,Private room in rental unit,Private room,2,1 shared bath,2.0,1320.4675313807531,3,6,0,3,5.0,f,0.06
26588627,125738523,100.0,t,1.0,t,f,Østerbro,Entire rental unit,Entire home/apt,4,1 bath,2.0,1271.0,5,365,0,80,4.88,f,1.22
691081348944843834,474469512,75.0,f,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,4,1.5 baths,4.0,1800.0,5,9,199,4,5.0,f,0.33
19135006,49534423,100.0,f,15.0,t,t,Frederiksberg,Private room in townhouse,Private room,2,1 private bath,2.0,450.0,3,1125,144,95,4.25,t,1.21
52196102,6438334,90.0,t,2.0,t,t,Amager st,Entire rental unit,Entire home/apt,2,1 bath,1.0,900.0,3,62,15,26,4.88,f,0.94
44384571,24859665,0.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,4,1 bath,3.0,950.0,5,1125,22,3,5.0,f,0.07
674225569327908215,57662402,26.0,f,4.0,t,t,Nørrebro,Entire condo,Entire home/apt,2,1 bath,1.0,879.0,3,7,356,17,5.0,f,1.0
48035449,164771007,100.0,f,14.0,t,t,Amager Vest,Room in aparthotel,Private room,1,1 private bath,1.0,372.0,7,1125,171,20,4.8,f,0.72
25543045,25492912,50.0,f,1.0,t,t,Østerbro,Entire rental unit,Entire home/apt,3,1 bath,1.0,1000.0,3,365,22,1,5.0,f,0.34
696113804029794141,29365402,44.0,f,3.0,t,t,Nørrebro,Entire condo,Entire home/apt,2,1 bath,1.0,889.0,4,7,334,8,5.0,f,0.53
37347614,19769286,93.0,f,1.0,t,t,Amager st,Entire condo,Entire home/apt,2,1 bath,2.0,500.0,6,30,112,16,4.5,f,0.3
829537466014428395,6851773,67.0,t,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,2,1 bath,1.0,1300.0,3,365,320,12,5.0,f,1.46
42507675,310500664,71.55430761099366,f,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,3,1 bath,1.0,1320.4675313807531,2,7,0,1,5.0,f,0.02
929461406447077895,177341694,100.0,f,2.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,4,1 bath,1.0,1320.4675313807531,1,365,0,2,5.0,t,0.45
2627439,13455909,100.0,f,1.0,t,f,Nørrebro,Entire condo,Entire home/apt,1,1 bath,1.0,1320.4675313807531,5,60,0,13,5.0,f,0.24
4878210,19324170,0.0,f,1.0,t,t,Indre By,Entire condo,Entire home/apt,2,3 baths,1.0,695.0,5,1125,3,29,4.69,f,0.27
13010594,6878008,100.0,t,3.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,3,1 bath,1.0,1320.4675313807531,2,10,0,25,4.84,f,0.27
912259711456681517,15705920,100.0,f,1.0,t,t,Indre By,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,3,365,0,1,4.0,f,0.18
3394494,1386103,71.55430761099366,f,8.0,t,f,Amager Vest,Private room in rental unit,Private room,1,1 shared bath,1.0,828.0,1,30,0,0,4.818525443935496,f,0.7332381191537447
13267874,56382799,42.0,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,4,1 bath,4.0,1320.4675313807531,5,1125,0,32,4.56,f,0.35
635815345234099803,60878765,23.0,f,2.0,t,t,Nørrebro,Entire condo,Entire home/apt,2,1 bath,1.0,1320.4675313807531,8,1125,0,7,4.86,f,0.39
19013686,132657174,71.55430761099366,f,1.0,t,f,Frederiksberg,Entire rental unit,Entire home/apt,6,1 bath,4.0,1320.4675313807531,2,1125,0,35,4.77,t,0.44
13249838,4551666,71.55430761099366,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,2,1125,0,57,4.81,f,0.63
661416286183847382,60937970,100.0,f,2.0,t,t,Amager st,Entire condo,Entire home/apt,4,1 bath,2.0,1320.4675313807531,3,1125,0,5,4.6,f,0.4
731170897620228971,6709781,71.55430761099366,f,3.0,t,t,Nørrebro,Entire condo,Entire home/apt,4,1 bath,2.0,1320.4675313807531,7,365,0,0,4.818525443935496,f,0.7332381191537447
